"Regional sea","P","EC","count","Smean","Smedian"
"Mediteranean Sea",5,15,3,1.67,1
"Mediteranean Sea",5,16,3,3,3
"Mediteranean Sea",5,17,3,2.67,3
"Mediteranean Sea",5,18,3,2.67,3
"Mediteranean Sea",5,19,3,2.67,3
"Mediteranean Sea",5,20,3,2.67,3
"Mediteranean Sea",5,21,3,2.33,3
"Mediteranean Sea",5,22,3,2.33,3
"Mediteranean Sea",5,23,3,2.67,3
"Mediteranean Sea",5,24,3,3,3
"Mediteranean Sea",5,25,3,1,1
"Mediteranean Sea",5,26,3,1,1
"Mediteranean Sea",5,27,3,1,1
"Mediteranean Sea",5,28,3,1,1
"Mediteranean Sea",5,29,3,1,1
"Mediteranean Sea",5,30,3,1,1
"Mediteranean Sea",5,31,3,1,1
"Mediteranean Sea",5,32,3,2,2
"Mediteranean Sea",6,1,3,1.67,1
"Mediteranean Sea",6,2,3,2,2
"Mediteranean Sea",6,3,3,2,2
"Mediteranean Sea",6,4,3,2,2
"Mediteranean Sea",6,5,3,2,2
"Mediteranean Sea",6,6,3,2,2
"Mediteranean Sea",6,7,3,0.67,1
"Mediteranean Sea",6,8,3,0.67,1
"Mediteranean Sea",6,9,3,0.67,1
"Mediteranean Sea",6,10,3,0.67,1
"Mediteranean Sea",6,11,3,0.33,0
"Mediteranean Sea",6,12,3,0.33,0
"Mediteranean Sea",6,13,3,0.33,0
"Mediteranean Sea",6,14,3,2,2
"Mediteranean Sea",6,15,3,0.67,0
"Mediteranean Sea",6,16,3,2.67,3
"Mediteranean Sea",6,17,3,2.67,3
"Mediteranean Sea",6,18,3,2.33,3
"Mediteranean Sea",6,19,3,2,3
"Mediteranean Sea",6,20,3,2,2
"Mediteranean Sea",6,21,3,0.67,1
"Mediteranean Sea",6,22,3,1,1
"Mediteranean Sea",6,23,3,1,1
"Mediteranean Sea",6,24,3,0.67,1
"Mediteranean Sea",6,25,3,1.67,2
"Mediteranean Sea",6,26,3,1.67,2
"Mediteranean Sea",6,27,3,0.33,0
"Mediteranean Sea",6,28,3,0.33,0
"Mediteranean Sea",6,29,3,0.33,0
"Mediteranean Sea",6,30,3,0.33,0
"Mediteranean Sea",6,31,3,1.67,1
"Mediteranean Sea",6,32,3,0.67,1
"Mediteranean Sea",7,1,3,1.33,1
"Mediteranean Sea",7,2,3,1.33,1
"Mediteranean Sea",7,3,3,1.33,1
"Mediteranean Sea",7,4,3,1.33,1
"Mediteranean Sea",7,5,3,1.33,1
"Mediteranean Sea",7,6,3,1.33,1
"Mediteranean Sea",7,7,3,0.67,1
"Mediteranean Sea",7,8,3,1,1
"Mediteranean Sea",7,9,3,1,1
"Mediteranean Sea",7,10,3,1,1
"Mediteranean Sea",7,11,3,1,1
"Mediteranean Sea",7,12,3,1,1
"Mediteranean Sea",7,13,3,1,1
"Mediteranean Sea",7,14,3,1,1
"Mediteranean Sea",7,15,3,1,1
"Mediteranean Sea",7,16,3,1.33,1
"Mediteranean Sea",7,17,3,1.33,1
"Mediteranean Sea",7,18,3,1.33,1
"Mediteranean Sea",7,19,3,1,1
"Mediteranean Sea",7,20,3,0.67,1
"Mediteranean Sea",7,21,3,0.67,1
"Mediteranean Sea",7,22,3,0.67,1
"Mediteranean Sea",7,23,3,0.67,1
"Mediteranean Sea",7,24,3,0.67,1
"Mediteranean Sea",7,25,3,1,1
"Mediteranean Sea",7,26,3,1,1
"Mediteranean Sea",7,27,3,0.67,1
"Mediteranean Sea",7,28,3,0.67,1
"Mediteranean Sea",7,29,3,0.67,1
"Mediteranean Sea",7,30,3,1,1
"Mediteranean Sea",7,31,3,1.33,1
"Mediteranean Sea",7,32,3,0.67,1
"Mediteranean Sea",8,1,3,1.67,2
"Mediteranean Sea",8,2,3,1.67,2
"Mediteranean Sea",8,3,3,1.67,2
"Mediteranean Sea",8,4,3,1.67,2
"Mediteranean Sea",8,5,3,1.33,2
"Mediteranean Sea",8,6,3,1,1
"Mediteranean Sea",8,7,3,0.67,0
"Mediteranean Sea",8,8,3,1,1
"Mediteranean Sea",8,9,3,0.67,0
"Mediteranean Sea",8,10,3,0.67,0
"Mediteranean Sea",8,11,3,1.33,1
"Mediteranean Sea",8,12,3,0.33,0
"Mediteranean Sea",8,13,3,0.33,0
"Mediteranean Sea",8,14,3,2,2
"Mediteranean Sea",8,15,3,0.33,0
"Mediteranean Sea",8,16,3,2.33,2
"Mediteranean Sea",8,17,3,2.33,2
"Mediteranean Sea",8,18,3,2,2
"Mediteranean Sea",8,19,3,0.67,1
"Mediteranean Sea",8,20,3,1,1
"Mediteranean Sea",8,21,3,1.33,1
"Mediteranean Sea",8,22,3,2,2
"Mediteranean Sea",8,23,3,0.67,1
"Mediteranean Sea",8,24,3,0.67,1
"Mediteranean Sea",8,25,3,2.33,3
"Mediteranean Sea",8,26,3,2.33,3
"Mediteranean Sea",8,27,3,0.67,1
"Mediteranean Sea",8,28,3,0.67,1
"Mediteranean Sea",8,29,3,0.67,1
"Mediteranean Sea",8,30,3,1,1
"Mediteranean Sea",8,31,3,1,1
"Mediteranean Sea",8,32,3,1,1
"Mediteranean Sea",9,1,3,2,2
"Mediteranean Sea",9,2,3,2,2
"Mediteranean Sea",9,3,3,2,2
"Mediteranean Sea",9,4,3,2,2
"Mediteranean Sea",9,5,3,2,2
"Mediteranean Sea",9,6,3,2,2
"Mediteranean Sea",9,7,3,2,2
"Mediteranean Sea",9,8,3,2,2
"Mediteranean Sea",9,9,3,2,2
"Mediteranean Sea",9,10,3,2,2
"Mediteranean Sea",9,11,3,2,2
"Mediteranean Sea",9,12,3,2,2
"Mediteranean Sea",9,13,3,2,2
"Mediteranean Sea",9,14,3,1.67,2
"Mediteranean Sea",9,15,3,1.33,1
"Mediteranean Sea",9,16,3,1.67,2
"Mediteranean Sea",9,17,3,1.33,1
"Mediteranean Sea",9,18,3,2,2
"Mediteranean Sea",9,19,3,2,2
"Mediteranean Sea",9,20,3,2,2
"Mediteranean Sea",9,21,3,2,2
"Mediteranean Sea",9,22,3,2.67,3
"Mediteranean Sea",9,23,3,2.33,2
"Mediteranean Sea",9,24,3,2.33,2
"Mediteranean Sea",9,25,3,1.33,2
"Mediteranean Sea",9,26,3,1.33,2
"Mediteranean Sea",9,27,3,1.67,2
"Mediteranean Sea",9,28,3,1.67,2
"Mediteranean Sea",9,29,3,1.67,2
"Mediteranean Sea",9,30,3,1.67,2
"Mediteranean Sea",9,31,3,1.67,2
"Mediteranean Sea",9,32,3,2,2
