"","Regional sea","P","EC","count","Smean","Smedian"
"67","Mediteranean Sea",3,3,6,2,2
"68","Mediteranean Sea",3,4,6,2,2
"69","Mediteranean Sea",3,5,6,2,2
"70","Mediteranean Sea",3,6,6,1.5,1.5
"71","Mediteranean Sea",3,7,6,1,1
"72","Mediteranean Sea",3,8,6,1,1
"73","Mediteranean Sea",3,9,6,1.5,1.5
"74","Mediteranean Sea",3,10,6,1.5,1.5
"75","Mediteranean Sea",3,11,6,1.5,1.5
"76","Mediteranean Sea",3,12,6,1.5,1.5
"77","Mediteranean Sea",3,13,6,1.5,1.5
"78","Mediteranean Sea",3,14,6,3,3
"79","Mediteranean Sea",3,15,6,1,1
"80","Mediteranean Sea",3,16,6,3,3
"81","Mediteranean Sea",3,17,6,3,3
"82","Mediteranean Sea",3,18,6,3,3
"83","Mediteranean Sea",3,19,6,3,3
"84","Mediteranean Sea",3,20,6,3,3
"85","Mediteranean Sea",3,21,6,1.5,1.5
"86","Mediteranean Sea",3,22,6,1.5,1.5
"87","Mediteranean Sea",3,23,6,2,2
"88","Mediteranean Sea",3,24,6,3,3
"89","Mediteranean Sea",3,25,6,2.5,2.5
"90","Mediteranean Sea",3,26,6,2.5,2.5
"91","Mediteranean Sea",3,27,6,1.5,1.5
"92","Mediteranean Sea",3,28,6,1.5,1.5
"93","Mediteranean Sea",3,29,6,1.5,1.5
"94","Mediteranean Sea",3,30,6,2.5,2.5
"95","Mediteranean Sea",3,31,6,1.5,1.5
"96","Mediteranean Sea",3,32,6,2,2
"97","Mediteranean Sea",4,1,6,2,2
"98","Mediteranean Sea",4,2,6,2.5,2.5
"99","Mediteranean Sea",4,3,6,2.5,2.5
"100","Mediteranean Sea",4,4,6,2.5,2.5
"101","Mediteranean Sea",4,5,6,2,2
"102","Mediteranean Sea",4,6,6,1.5,1.5
"103","Mediteranean Sea",4,7,6,1.5,1.5
"104","Mediteranean Sea",4,8,6,1.5,1.5
"105","Mediteranean Sea",4,9,6,2,2
"106","Mediteranean Sea",4,10,6,2,2
"107","Mediteranean Sea",4,11,6,2,2
"108","Mediteranean Sea",4,12,6,2,2
"109","Mediteranean Sea",4,13,6,2.5,2.5
"110","Mediteranean Sea",4,14,6,3,3
"111","Mediteranean Sea",4,15,6,1,1
"112","Mediteranean Sea",4,16,6,3,3
"113","Mediteranean Sea",4,17,6,3,3
"114","Mediteranean Sea",4,18,6,3,3
"115","Mediteranean Sea",4,19,6,3,3
"116","Mediteranean Sea",4,20,6,3,3
"117","Mediteranean Sea",4,21,6,1.5,1.5
"118","Mediteranean Sea",4,22,6,0.5,0.5
"119","Mediteranean Sea",4,23,6,2.5,2.5
"120","Mediteranean Sea",4,24,6,3,3
"121","Mediteranean Sea",4,25,6,1.5,1.5
"122","Mediteranean Sea",4,26,6,1.5,1.5
"123","Mediteranean Sea",4,27,6,1,1
"124","Mediteranean Sea",4,28,6,1,1
"125","Mediteranean Sea",4,29,6,1,1
"126","Mediteranean Sea",4,30,6,2,2
"127","Mediteranean Sea",4,31,6,1,1
"128","Mediteranean Sea",4,32,6,1.5,1.5
"129","Mediteranean Sea",5,1,6,2.5,2.5
"130","Mediteranean Sea",5,2,6,3,3
"131","Mediteranean Sea",5,3,6,3,3
"132","Mediteranean Sea",5,4,6,3,3
"133","Mediteranean Sea",5,5,6,2.5,2.5
"134","Mediteranean Sea",5,6,6,2.5,2.5
"135","Mediteranean Sea",5,7,6,2.5,2.5
"136","Mediteranean Sea",5,8,6,2.5,2.5
"137","Mediteranean Sea",5,9,6,2.5,2.5
"138","Mediteranean Sea",5,10,6,2.5,2.5
"139","Mediteranean Sea",5,11,6,2.5,2.5
"140","Mediteranean Sea",5,12,6,2.5,2.5
"141","Mediteranean Sea",5,13,6,3,3
"142","Mediteranean Sea",5,14,6,3,3
"143","Mediteranean Sea",5,15,6,2,2
"144","Mediteranean Sea",5,16,6,3,3
"145","Mediteranean Sea",5,17,6,3,3
"146","Mediteranean Sea",5,18,6,3,3
